experiment,n_waypoints,plain_2opt_violates_rule,precedence_rule,qubo_sa_cost_min,qubo_sa_satisfies_rule,repaired_2opt_cost_min,repaired_2opt_extra_cost_pct,repaired_2opt_still_violates,trial
constrained,8,False,Indiranagar before MG Road,353.9,True,322.3,0.0,False,0
constrained,7,True,Electronic City before Whitefield,545.6,True,593.8,11.4,False,1
constrained,7,False,Silk Board before Yeshwantpur,372.4,True,372.4,0.0,False,2
constrained,7,True,Electronic City before Koramangala,357.5,True,385.4,7.8,False,3
constrained,9,True,Marathahalli before Silk Board,359.9,True,416.1,23.4,False,4
constrained,9,True,HSR Layout before BTM Layout,455.2,True,482.7,9.6,False,5
constrained,7,True,Whitefield before Koramangala,472.8,True,492.2,0.0,False,6
constrained,8,True,BTM Layout before Yeshwantpur,565.7,True,708.0,31.6,False,7
constrained,8,False,HSR Layout before Malleshwaram,349.6,True,342.1,0.0,False,8
constrained,8,True,Electronic City before Yeshwantpur,568.3,True,703.5,31.9,False,9
constrained,9,False,Whitefield before HSR Layout,589.3,True,533.2,0.0,False,10
constrained,8,False,Jayanagar before Whitefield,387.8,True,378.6,0.0,False,11
constrained,8,True,Koramangala before Whitefield,474.2,True,540.1,9.7,False,12
constrained,9,False,BTM Layout before HSR Layout,498.4,True,464.0,0.0,False,13
constrained,9,False,Malleshwaram before Koramangala,460.3,True,386.3,0.0,False,14
