experiment,extra_distance_pct_if_time_only,extra_time_pct_if_distance_only,n_waypoints,objectives_diverge,trial,true_fastest_tour_distance_km,true_fastest_tour_time_min,true_shortest_tour_distance_km,true_shortest_tour_time_min
multi_objective,0.0,0.0,7,False,0,54.57,285.19,54.57,285.19
multi_objective,0.9,0.6,9,True,1,90.01,510.67,89.19,513.61
multi_objective,0.0,0.0,9,False,2,65.78,357.51,65.78,357.51
multi_objective,0.0,0.0,6,False,3,39.19,224.19,39.19,224.19
multi_objective,1.9,0.0,7,True,4,84.38,463.98,82.81,463.98
multi_objective,0.6,0.6,9,True,5,83.56,463.01,83.04,465.95
multi_objective,0.5,0.6,7,True,6,97.32,533.19,96.8,536.13
multi_objective,1.1,0.0,9,True,7,76.94,440.47,76.14,440.47
multi_objective,0.0,0.0,9,False,8,64.45,338.31,64.45,338.31
multi_objective,0.9,2.4,9,True,9,60.2,314.58,59.69,322.1
multi_objective,1.4,1.6,8,True,10,84.75,467.76,83.62,475.27
multi_objective,0.0,0.0,8,False,11,79.5,450.79,79.5,450.79
